日付,ライブタイトル,会場名
2024-12-13,Blow up BombVol.3,Shibuya Milky way
2024-12-14,為虎傅翼ーイコフヨクー　東京公演,新宿HEIST
2024-12-14,リリイベ,有明ガーデンテラス
2024-12-15,NEW AGE YAON,日比谷公園大音楽堂
2024-12-17,husky confront the grow up Vol.4,心斎橋VARON
2024-12-21,BEARCLOW 零式　Chapter 02,心斎橋BEYOND
2024-12-21,レゼル祭　年末感謝祭SP,心斎橋BEYOND
2024-12-22,リリイベ,ヨドバシカメラマルチメディア梅田Links広場2F
2024-12-22,HYBIID MUSIC SPACE vol.1,OSAKA Ruido
2024-12-23,リリイベ,ヨドバシカメラマルチメディア梅田Links広場2F
2024-12-24,シンデレラ裁判　Xmas eve SP,心斎橋VARON
2024-12-24,Buzzer01&.presents.,梅田BANGBOO
2024-12-26,シンデレラ裁判　Xmas SP 8組,十三GABU
2024-12-28,風神雷神　年末編,心斎橋CLAPPER
2024-12-28,CLAPPER presents.Thank You 2024,心斎橋CLAPPER
2024-12-29,推し事.LiveDX～推し事ライブ年末祭day2～,GRAFFY HALL
2024-12-30,RideMISOKA FEST2024,神戸harbor studio
2024-12-31,リリイベ,ヨドバシカメラマルチメディア梅田B2F
2024-12-31,chemical reaction　年末SP,心斎橋VARON
2025-01-03,chemical reaction　年始SP,心斎橋VARON
2025-01-03,Shiuk birthday Party 2025 in OSAKA,心斎橋VARON
2025-01-04,風神雷神 年始SP,福島２nd line
2025-01-04,PassAge Point in OSAKA Vol.7,心斎橋CLAPPER
2025-01-05,風神雷神 年始SP Vol2,福島2nd line
2025-01-05,リリイベ,,ヨドバシカメラマルチメディア梅田B2F
2025-01-07,旋風ﾉ國 - 謹賀新年 名古屋編 -,名古屋RADHALL
2025-01-09,｢RAiSE 無銭 REVOLUTiON｣,西九条BLANDNEW
2025-01-10,DA VAMP vol51~NEW YEAR SP~,浅草 VAMPKIN
2025-01-11,DAIDOL vol.123,新宿ANTIKNOCK
2025-01-11,KEMONO FES 3 -新春特番!!-,新宿science
2025-01-12,「メルマるアイドルパーティ」,HOLIDAY
2025-01-12,Shiuk birthday Party 2025 in TOKYO,新宿HEIST
2025-01-13,WEEKEND INFINITY 脱却 25 KAIYU,Flowers LOFT
2025-01-13,FUKUIN -福音-,渋谷スターラウンジ
2025-01-15,Synchro Sensation Vol.2,心斎橋VARON
2025-01-18,REIKA BIRTHDAY PRE FESTIVAL,ESAKA MUSE
2025-01-18,SPRISE Pre. NEO TRIP - MOON-,BANGBOO
2025-01-19,「棘とおどろ west vol.4」Day,梅田BANGBOO
2025-01-19,パルフェシュクレムプレジール - 新春SP -,心斎橋SUNHALL
2025-01-21,浮世茶会,大阪梅田BANGBOO
2025-01-22,chemical reaction Vol.39,心斎橋VARON
2025-01-25,ドグマエッジ,池袋WIKE
2025-01-25,リリイベ,ららぽーと柏の葉
2025-01-26,深海の雨音 vol.26,新高円寺LOFTX
2025-01-26,｢道玄坂69 濡田まな 生誕公演｣,五反田G7
2025-01-27,長嶺心咲生誕祭,心斎橋VARON
